Time,SensorTimestamp,Value,Sensor
84,1.13733007E14,369357.0,MAX86915 IR
84,1.13733007E14,364434.0,MAX86915 RED
85,1.13733024E14,369345.0,MAX86915 IR
85,1.13733024E14,364361.0,MAX86915 RED
86,1.13733032E14,369263.0,MAX86915 IR
86,1.13733032E14,364311.0,MAX86915 RED
87,1.13733041E14,369200.0,MAX86915 IR
87,1.13733041E14,364263.0,MAX86915 RED
88,1.13733049E14,369129.0,MAX86915 IR
88,1.13733049E14,364230.0,MAX86915 RED
89,1.13733058E14,369076.0,MAX86915 IR
89,1.13733058E14,364140.0,MAX86915 RED
90,1.13733074E14,369031.0,MAX86915 IR
90,1.13733074E14,364051.0,MAX86915 RED
91,1.13733083E14,369010.0,MAX86915 IR
91,1.13733083E14,364051.0,MAX86915 RED
92,1.13733091E14,368972.0,MAX86915 IR
92,1.13733091E14,364014.0,MAX86915 RED
93,1.137331E14,369017.0,MAX86915 IR
93,1.137331E14,364032.0,MAX86915 RED
94,1.13733108E14,369052.0,MAX86915 IR
94,1.13733108E14,364017.0,MAX86915 RED
95,1.13733125E14,369080.0,MAX86915 IR
95,1.13733125E14,364010.0,MAX86915 RED
96,1.13733133E14,369098.0,MAX86915 IR
96,1.13733133E14,363973.0,MAX86915 RED
97,1.13733142E14,369074.0,MAX86915 IR
97,1.13733142E14,363978.0,MAX86915 RED
98,1.1373315E14,369046.0,MAX86915 IR
98,1.1373315E14,363953.0,MAX86915 RED
99,1.13733158E14,368988.0,MAX86915 IR
99,1.13733158E14,363904.0,MAX86915 RED
100,1.13733175E14,368977.0,MAX86915 IR
100,1.13733175E14,363853.0,MAX86915 RED
101,1.13733183E14,368920.0,MAX86915 IR
101,1.13733183E14,363833.0,MAX86915 RED
102,1.13733192E14,368901.0,MAX86915 IR
102,1.13733192E14,363773.0,MAX86915 RED
103,1.137332E14,368826.0,MAX86915 IR
103,1.137332E14,363732.0,MAX86915 RED
104,1.13733209E14,368843.0,MAX86915 IR
104,1.13733209E14,363702.0,MAX86915 RED
105,1.13733225E14,368826.0,MAX86915 IR
105,1.13733225E14,363674.0,MAX86915 RED
106,1.13733234E14,368852.0,MAX86915 IR
106,1.13733234E14,363679.0,MAX86915 RED
107,1.13733242E14,368855.0,MAX86915 IR
107,1.13733242E14,363651.0,MAX86915 RED
108,1.13733251E14,368867.0,MAX86915 IR
108,1.13733251E14,363696.0,MAX86915 RED
109,1.13733259E14,368889.0,MAX86915 IR
109,1.13733259E14,363713.0,MAX86915 RED
110,1.13733267E14,368973.0,MAX86915 IR
110,1.13733267E14,363698.0,MAX86915 RED
111,1.13733284E14,368950.0,MAX86915 IR
111,1.13733284E14,363712.0,MAX86915 RED
112,1.13733293E14,369004.0,MAX86915 IR
112,1.13733293E14,363752.0,MAX86915 RED
113,1.13733301E14,369040.0,MAX86915 IR
113,1.13733301E14,363773.0,MAX86915 RED
114,1.13733309E14,369107.0,MAX86915 IR
114,1.13733309E14,363782.0,MAX86915 RED
115,1.13733318E14,369139.0,MAX86915 IR
115,1.13733318E14,363742.0,MAX86915 RED
116,1.13733334E14,369190.0,MAX86915 IR
116,1.13733334E14,363779.0,MAX86915 RED
117,1.13733343E14,369253.0,MAX86915 IR
117,1.13733343E14,363753.0,MAX86915 RED
118,1.13733351E14,369251.0,MAX86915 IR
118,1.13733351E14,363778.0,MAX86915 RED
119,1.1373336E14,369310.0,MAX86915 IR
119,1.1373336E14,363798.0,MAX86915 RED
120,1.13733368E14,369371.0,MAX86915 IR
120,1.13733368E14,363794.0,MAX86915 RED
121,1.13733385E14,369389.0,MAX86915 IR
121,1.13733385E14,363808.0,MAX86915 RED
122,1.13733393E14,369450.0,MAX86915 IR
122,1.13733393E14,363808.0,MAX86915 RED
123,1.13733402E14,369496.0,MAX86915 IR
123,1.13733402E14,363853.0,MAX86915 RED
124,1.1373341E14,369490.0,MAX86915 IR
124,1.1373341E14,363856.0,MAX86915 RED
125,1.13733418E14,369581.0,MAX86915 IR
125,1.13733418E14,363867.0,MAX86915 RED
126,1.13733435E14,369589.0,MAX86915 IR
126,1.13733435E14,363872.0,MAX86915 RED
127,1.13733444E14,369623.0,MAX86915 IR
127,1.13733444E14,363846.0,MAX86915 RED
128,1.13733452E14,369663.0,MAX86915 IR
128,1.13733452E14,363882.0,MAX86915 RED
129,1.1373346E14,369730.0,MAX86915 IR
129,1.1373346E14,363900.0,MAX86915 RED
130,1.13733469E14,369742.0,MAX86915 IR
130,1.13733469E14,363929.0,MAX86915 RED
131,1.13733485E14,369750.0,MAX86915 IR
131,1.13733485E14,363892.0,MAX86915 RED
132,1.13733494E14,369755.0,MAX86915 IR
132,1.13733494E14,363872.0,MAX86915 RED
133,1.13733502E14,369779.0,MAX86915 IR
133,1.13733502E14,363883.0,MAX86915 RED
134,1.13733511E14,369774.0,MAX86915 IR
134,1.13733511E14,363905.0,MAX86915 RED
135,1.13733519E14,369793.0,MAX86915 IR
135,1.13733519E14,363915.0,MAX86915 RED
136,1.13733527E14,369794.0,MAX86915 IR
136,1.13733527E14,363926.0,MAX86915 RED
137,1.13733544E14,369785.0,MAX86915 IR
137,1.13733544E14,363898.0,MAX86915 RED
138,1.13733553E14,369754.0,MAX86915 IR
138,1.13733553E14,363851.0,MAX86915 RED
139,1.13733561E14,369785.0,MAX86915 IR
139,1.13733561E14,363859.0,MAX86915 RED
140,1.13733569E14,369797.0,MAX86915 IR
140,1.13733569E14,363815.0,MAX86915 RED
141,1.13733578E14,369831.0,MAX86915 IR
141,1.13733578E14,363850.0,MAX86915 RED
142,1.13733595E14,369850.0,MAX86915 IR
142,1.13733595E14,363882.0,MAX86915 RED
143,1.13733603E14,369860.0,MAX86915 IR
143,1.13733603E14,363889.0,MAX86915 RED
144,1.13733611E14,369906.0,MAX86915 IR
144,1.13733611E14,363894.0,MAX86915 RED
145,1.1373362E14,369953.0,MAX86915 IR
145,1.1373362E14,363901.0,MAX86915 RED
146,1.13733628E14,370000.0,MAX86915 IR
146,1.13733628E14,363922.0,MAX86915 RED
147,1.13733645E14,370054.0,MAX86915 IR
147,1.13733645E14,363945.0,MAX86915 RED
148,1.13733653E14,370080.0,MAX86915 IR
148,1.13733653E14,363925.0,MAX86915 RED
149,1.13733662E14,370116.0,MAX86915 IR
149,1.13733662E14,363949.0,MAX86915 RED
150,1.1373367E14,370092.0,MAX86915 IR
150,1.1373367E14,363946.0,MAX86915 RED
151,1.13733678E14,370172.0,MAX86915 IR
151,1.13733678E14,363966.0,MAX86915 RED
152,1.13733695E14,370195.0,MAX86915 IR
152,1.13733695E14,363995.0,MAX86915 RED
153,1.13733704E14,370212.0,MAX86915 IR
153,1.13733704E14,363955.0,MAX86915 RED
